Код,Медичний напрям,Захворювання,Область,Больница,Заявник,Спонсор,Фази,Стан,Стать,Вік пацієнтів
AB12006,Онкологія,Колоректальний рак,Вінницька | Дніпропетровська | Закарпатська | Закарпатська | Запорізька | Київська | Київська | Київська | Київська | Кіровоградська | Полтавська | Полтавська | Сумська | Харківська | Черкаська,"Подільський регіональний центр онкології, м. Вінниця | ""Міська багатопрофільна лікарня №4"", м. Дніпро | Закарпатський обласний клінічний онкологічний диспансер, м. Ужгород | Ужгородська центральна МКЛ, м. Ужгород | ДЗ ""Відділкова клінічна лікарня станції Запоріжжя -2 ДП ""Придніпровська залізниця"", м. Запоріжжя | КЗКОР ""Київський обласний онкологічний диспансер"", м. Київ | Київський міський клінічний онкологічний центр, м. Київ | ЛДЦ ТОВ ""Медікс-рей Інтернешнл Груп"" Лікарня ізраїльської онкології “LISOD”, Обухівський р-н, с. Плюти, м. Київ | Національний інститут раку, м. Київ | ПППВФ ""Ацинус"", м. Кропивницький | КЗ ""Обласний клінічний онкологічний диспансер"", м. Полтава | КЗ ""Обласний клінічний онкологічний диспансер"", м. Полтава | КЗ ""Обласний клінічний онкологічний диспансер"", м. Суми | КЗ ""Обласний клінічний онкологічний центр"", м. Харків | КЗ ""Обласний онкологічний диспансер"", м. Черкаси","ТОВ ""Сінерджи Групп Україна""","AB Science, Франція",3,Затверджено наказом МОЗ,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
PAN-042015,Гастроентерологія,Хронічний панкреатит,Вінницька | Дніпропетровська | Запорізька | Запорізька | Запорізька | Івано-Франківська | Київська | Київська | Львівська | Одеська | Рівненська | Тернопільська | Херсонська | Черкаська,"""МКЛ №1"", м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""МКЛ №6"", м. Запоріжжя | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | КЗ „Центральна лікарня Орджонікідзівського району”, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | ДЗ ""Дорожня клінічна лікарня №2 станції Київ ДТГО ""Південно-Західна залізниця"", м. Київ | КНП ""КДЦ Дніпровського району м. Києва, м. Київ | КЗ ""МКЛ №5"", м. Львів | КЗ ""МКЛ №20"", м. Одеса | КЗ ""МКЛ №1"", м. Рівне | КЗ ""МКЛ №2"", м. Тернопіль | КЗ ""ОКЛ"", м. Херсон | КЗ ""МКЛ"", м. Черкаси","ТОВ ""Фармаксі"", Україна","ТОВ ФАРМЕКС ГРУП, Україна",4,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
AB14005,Онкологія,Аденокарцинома шлунку та стравоходу,Дніпропетровська | Житомирська | Запорізька | Київська | Київська | Київська | Кіровоградська | Полтавська | Полтавська | Сумська | Харківська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | КЗ ""Обласний онкологічний диспансер"", м. Житомир | ДЗ ""Відділкова клінічна лікарня станції Запоріжжя -2 ДП ""Придніпровська залізниця"", м. Запоріжжя | Київський міський клінічний онкологічний центр, м. Київ | ЛДЦ ТОВ ""Медікс-рей Інтернешнл Груп"" Лікарня ізраїльської онкології “LISOD”, Обухівський р-н, с. Плюти, м. Київ | Національний інститут раку, м. Київ | ПППВФ ""Ацинус"", м. Кропивницький | КЗ ""Обласний клінічний онкологічний диспансер"", м. Полтава | КЗ ""Обласний клінічний онкологічний диспансер"", м. Полтава | КЗ ""Обласний клінічний онкологічний диспансер"", м. Суми | КЗ ""Обласний клінічний онкологічний центр"", м. Харків","ТОВ ""Сінерджи Групп Україна""","AB Science, Франція",3,Затверджено наказом МОЗ,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
BN29552,"Психіатрія, Неврологія",Продромальна стадія або легкий ступінь тяжкості хвороби Альцгеймера,Київська | Київська | Львівська | Харківська,"ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | КЗ ""МКЛ №9"", м. Київ | КЗ ""Західноукраїнський спеціалізований дитячий медичний центр"", м. Львів | КЗ ""Обласна клінічна психіатрична лікарня №3"", м. Харків","ТОВ ""Рош Україна""","F. Hoffmann-La Roche Ltd, Switzerland",3,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
ML-3341-306,Пульмонологія,негоспітальна бактеріальна пневмонія,Вінницька | Житомирська | Київська | Полтавська | Харківська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | КЗ ""Центральна МКЛ №1"", м. Житомир | ДЗ ""Інститут фтизіатрії і пульмонології імені Ф.Г. Яновського АМН України"", м. Київ | КЗ ""МКЛ №1"", м. Полтава | ДЗ ""Інститут загальної та невідкладної хірургії АМН України"", м. Харків","ТОВ ""Пі Ес Ай-Україна""","Мелінта Терапьютікс, Інк. Melinta Therapeutics, Inc.",3,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
8273-СL-0302,Онкологія,Недрібноклітинний рак легенів,Волинська | Дніпропетровська | Дніпропетровська | Закарпатська | Закарпатська | Івано-Франківська | Львівська | Харківська | Чернівецька,"ДЛПЗ ""Волинський обласний онкологічний диспансер"", м. Луцьк | ""Міська багатопрофільна лікарня №4"", м. Дніпро | КЗ ""Онкологічний диспансер"", м. Кривий Ріг | Закарпатський обласний клінічний онкологічний диспансер, м. Ужгород | Ужгородська центральна МКЛ, м. Ужгород | КЗ ""Обласний клінічний онкологічний диспансер"", м. Івано-Франківськ | КЗ ""Обласний онкологічний центр"", м. Львів | КНП ""Обласний центр онкології"", м. Харків | КЗ ""Обласний клінічний онкологічний диспансер"", м. Чернівці","ТОВ ""Парексел Україна""","Astellas Pharma Global Development, Inc., США",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
MRZ60201_3072_1,Неврологія,• Спастичності лише верхньої кінцівки або змішана спастичність верхньої і нижньої кінцівок у дітей та підлітків (у віці від 2 до 17 років) з церебральним паралічем.,Дніпропетровська | Київська | Одеська | Харківська,"КЗ ""Дитяча МКЛ №5"", м. Дніпро | ДЗ ""УМЦ реабілітації дітей з органічним ураженням нервової системи МОЗ"", м. Київ | КЗ ""Обласний медичний центр психічного здоров'я"", м. Одеса | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків","ТОВ ""Клінічні дослідження Айкон""","Мерц Фармасьютікалз ГмбХ, Німеччина/Merz Pharmaceuticals GmbH, Germany",3,Розпочато КВ в Україні,будь-яка,"Діти (2 роки - 11 років), Малолітні (12-14 років), Неповнолітні (14-18 років), Молодші 18 років"
AB10013,Неврологія,хвороба Паркінсона,Вінницька | Дніпропетровська | Дніпропетровська | Житомирська | Запорізька | Запорізька | Київська | Київська | Кіровоградська | Львівська | Львівська | Одеська | Рівненська | Харківська | Харківська | Харківська | Харківська | Херсонська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ДЗ ""Український ДНДІМСЦПІ МОЗ України"", м. Дніпро | Обласний КЗ ""Гейківська психоневрологічна лікарня"", с. Гейківка, Дніпропетровська обл., м. Кривий Ріг | КЗ ""Центральна МКЛ №1"", м. Житомир | КЗ ""МКЛ №6"", м. Запоріжжя | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | Головний військовий клінічний госпіталь МОЗ України, м. Київ | КЗ ""ОКЛ"", м. Київ | ПППВФ ""Ацинус"", м. Кропивницький | КЗ ""МКЛ №5"", м. Львів | КЗ ""ОКЛ"", м. Львів | КЗ ""ОКЛ"", м. Одеса | ДЗ ""Відділкова лікарня ст. Рівне ДТГО ""Львівська залізниця"", м. Рівне | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків | КЗ ""Обласна клінічна психіатрична лікарня №3"", м. Харків | Поліклініка ТОВ ""Доктор Алекс"", м. Харків | КЗ ""МКЛ ім. А. і О. Тропіних"", м. Херсон","ТОВ ""Сінерджи Групп Україна""","AB Science, Франція",2,Затверджено наказом МОЗ,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
1 160 189,Неврологія,Церебральний інсульт викликаний емболією (тромбом).,Вінницька | Житомирська | Київська | Львівська | Тернопільська | Харківська | Харківська | Чернівецька,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | КЗ ""ОКЛ імені О.Ф. Гербачевського"", м. Житомир | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | КЗ ""ОКЛ"", м. Львів | КЗ ""Обласна клінічна психоневрологічна лікарня"", м. Тернопіль | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків | КЗ ""МКЛ №7"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Чернівці","ТОВ ""Докумедс""","Boehringer Ingelheim RCV GmbH & Co KG, Austria/ Берінгер Інгельхайм РЦВГмбХ енд Ко КГ, Австрія",3,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
KZ - ZRL/T/PH-2/ - 03,Інфекційні хвороби,"пацієнти з неускладененим грипом чи ГРВІ (температура тіла не менше 38,5?С , гарячка, головній біль)",Івано-Франківська,"Університетська клініка ДМУ, м. Івано-Франківськ","ПАТ ""ХФЗ ""Червона зірка""",ВАТ ХФЗ Червона зірка,2,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
KZ - ZRL/T/PH-2/ - 01,"Ортопедія, Травматологія",пацієнти з травматичними ушкодженнями опорно-рухового апарату,Дніпропетровська,"КЗ ""Лікарсько-фізкультурний диспансер"" обласної ради, м. Дніпро","ПАТ ""ХФЗ ""Червона зірка""",ВАТ ХФЗ Червона зірка,2,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
BAY 59-7939/17454,Судинна хірургія,Пацієнти з симптоматичним захворюванням периферійних артерій,Вінницька | Вінницька | Дніпропетровська | Закарпатська | Запорізька | Івано-Франківська | Івано-Франківська | Івано-Франківська | Київська | Київська | Київська | Львівська | Одеська | Харківська | Харківська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | Обласний клінічний госпіталь ветеранів війни, м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Ужгородська центральна районна лікарня"", м. Ужгород | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | КЗ ""МКЛ"", м. Івано-Франківськ | КЗ ""МКЛ, м. Івано-Франківськ | ДЗ ""Інститут хірургії і трансплантології ім. О. Шалімова НАМН України"", м. Київ | НВМКЦ ""Головний військовий клінічний госпіталь"", м. Київ | Олександрівська клінічна лікарня, м. Київ | КЗ ""ОКЛ"", м. Львів | КЗ ""ОКЛ"", м. Одеса | ДЗ ""Інститут загальної та невідкладної хірургії АМН України"", м. Харків | КЗ ""МКЛ №8"", м. Харків","ТОВ ""Кованс Клінікал енд Періепрувал Сервісез""","Байєр АГ, [Bayer AG], Німеччина",3,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
MLN0002SC-3030,Гастроентерологія,"виразковий коліт, хвороба Крона",Вінницька | Вінницька | Вінницька | Дніпропетровська | Закарпатська | Запорізька | Івано-Франківська | Київська | Київська | Львівська | Одеська | Тернопільська | Харківська | Харківська | Херсонська | Чернівецька,"МЦ ТОВ ""Хелс Клінік"", Медичний клінічний дослідницький центр, м. Вінниця | Обласний клінічний госпіталь ветеранів війни, м. Вінниця | ПМП, МЦ ""Пульс"", м. Вінниця | ДЗ ""Інститут гастроентерології НАМН України"", м. Дніпро | КЗ ""Ужгородська центральна районна лікарня"", м. Ужгород | КЗ ""МКЛ №1"", м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | КЗ ""МКЛ №12"", м. Київ | КЗ ""ОКЛ"", м. Київ | КЗ ""МКЛ швидкої допомоги"", м. Львів | КЗ ""ОКЛ"", м. Одеса | КЗ ""Університетська лікарня"", м. Тернопіль | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №2"", м. Харків | КЗ ""МКЛ ім. А. і О. Тропіних"", м. Херсон | КЗ ""ОКЛ"", м. Чернівці","ПІІ ""Квінтайлс Україна""",Takeda Global Research and Development Centre (Europe),3,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
MLN0002SC-3027,Гастроентерологія,Виразковий коліт від помірного до важкого ступеня,Вінницька | Вінницька | Дніпропетровська | Закарпатська | Запорізька | Івано-Франківська | Київська | Київська | Одеська | Харківська | Харківська | Херсонська | Чернівецька,"МЦ ТОВ ""Хелс Клінік"", Медичний клінічний дослідницький центр, м. Вінниця | ПМП, МЦ ""Пульс"", м. Вінниця | ДЗ ""Інститут гастроентерології НАМН України"", м. Дніпро | КЗ ""Ужгородська центральна районна лікарня"", м. Ужгород | КЗ ""МКЛ №1"", м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | КЗ ""МКЛ №12"", м. Київ | КЗ ""ОКЛ"", м. Київ | КЗ ""ОКЛ"", м. Одеса | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №2"", м. Харків | КЗ ""МКЛ ім. А. і О. Тропіних"", м. Херсон | КЗ ""ОКЛ"", м. Чернівці","ПІІ ""Квінтайлс Україна""",Takeda Global Research and Development Centre (Europe),3,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
MLN0002SC-3031,Гастроентерологія,хвороба Крона,Вінницька | Вінницька | Вінницька | Дніпропетровська | Запорізька | Івано-Франківська | Київська | Київська | Львівська | Одеська | Тернопільська | Харківська | Херсонська | Чернівецька,"МЦ ТОВ ""Хелс Клінік"", Медичний клінічний дослідницький центр, м. Вінниця | Обласний клінічний госпіталь ветеранів війни, м. Вінниця | ПМП, МЦ ""Пульс"", м. Вінниця | ДЗ ""Інститут гастроентерології НАМН України"", м. Дніпро | ДЗ ""Відділкова клінічна лікарня станції Запоріжжя -2 ДП ""Придніпровська залізниця"", м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | КЗ ""МКЛ №12"", м. Київ | КЗ ""ОКЛ"", м. Київ | КЗ ""МКЛ швидкої допомоги"", м. Львів | КЗ ""ОКЛ"", м. Одеса | КЗ ""Університетська лікарня"", м. Тернопіль | КЗ ""МКЛ №2"", м. Харків | КЗ ""МКЛ ім. А. і О. Тропіних"", м. Херсон | КЗ ""ОКЛ"", м. Чернівці","ПІІ ""Квінтайлс Україна""",Takeda Global Research and Development Centre (Europe),3,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
GED-0301-CD-004,Гастроентерологія,хвороба Крона,Вінницька | Вінницька | Запорізька | Запорізька | Київська | Київська | Київська | Кіровоградська | Львівська | Львівська | Одеська | Одеська | Полтавська | Сумська | Тернопільська | Харківська | Харківська | Чернівецька,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | Клініка Науково-дослідного інституту реабілітації інвалідів, м. Вінниця | КЗ ""МКЛ №1"", м. Запоріжжя | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | ДЗ ""Республіканська клінічна лікарня МОЗ України"", м. Київ | КЗ ""МКЛ №1"", м. Київ | КЗ ""ОКЛ №2"", м. Київ | ПППВФ ""Ацинус"", м. Кропивницький | КЗ ""МКЛ №5"", м. Львів | КЗ ""ОКЛ"", м. Львів | КЗ ""МКЛ №20"", м. Одеса | КЗ ""ОКЛ"", м. Одеса | КЗ ""ОКЛ"", м. Полтава | КЗ ""ОКЛ"", м. Суми | КЗ ""МКЛ швидкої медичної допомоги"", м. Тернопіль | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №2"", м. Харків | КЗ ""ОКЛ"", м. Чернівці","ПІІ ""Квінтайлс Україна""",Celgene Corporation,3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
GED-0301-CD-002,Гастроентерологія,хвороба Крона,Вінницька | Вінницька | Запорізька | Запорізька | Київська | Київська | Київська | Кіровоградська | Львівська | Львівська | Одеська | Одеська | Полтавська | Сумська | Тернопільська | Харківська | Харківська | Чернівецька,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | Клініка Науково-дослідного інституту реабілітації інвалідів, м. Вінниця | КЗ ""МКЛ №1"", м. Запоріжжя | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | ДЗ ""Республіканська клінічна лікарня МОЗ України"", м. Київ | КЗ ""МКЛ №1"", м. Київ | КЗ ""ОКЛ №2"", м. Київ | ПППВФ ""Ацинус"", м. Кропивницький | КЗ ""МКЛ №5"", м. Львів | КЗ ""ОКЛ"", м. Львів | КЗ ""МКЛ №20"", м. Одеса | КЗ ""ОКЛ"", м. Одеса | КЗ ""ОКЛ"", м. Полтава | КЗ ""ОКЛ"", м. Суми | КЗ ""МКЛ швидкої медичної допомоги"", м. Тернопіль | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №2"", м. Харків | КЗ ""ОКЛ"", м. Чернівці","ПІІ ""Квінтайлс Україна""",Celgene Corporation,3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
331-12-283,"Психіатрія, Неврологія","ажитація, пов’язана з деменцією альцгеймеровського типу",Вінницька | Дніпропетровська | Київська | Київська | Львівська | Одеська | Одеська | Одеська | Полтавська | Харківська | Харківська | Харківська | Херсонська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | Територіальне медичне об’єднання ""Психіатрія"" у м.Києві, м. Київ | КЗ ""Обласна клінічна психіатрична лікарня"", м. Львів | КЗ ""Обласна клінічна психіатрична лікарня №2"", с. Олександрівка, м. Одеса | КЗ ""Обласна клінічна психіатрична лікарня №2"", с. Олександрівка, м. Одеса | КЗ ""Обласний медичний центр психічного здоров'я"", м. Одеса | КЗ ""Обласна клінічна психіатрична лікарня"", м. Полтава | КЗ ""Обласна клінічна психіатрична лікарня №3"", м. Харків | КЗ ""Обласна клінічна психіатрична лікарня №3"", м. Харків | КЗ ""Обласна клінічна психіатрична лікарня №3"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Херсон","ТОВ ""Інс Ресерч Україна""","Otsuka Pharmaceutical Development & Commercialization, Inc., United States",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
GNC-003,Неврологія,рецидивуюче-ремітуючий розсіяний склероз,Вінницька | Волинська | Дніпропетровська | Запорізька | Запорізька | Львівська | Львівська | Одеська | Харківська | Харківська | Чернигівська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ""Волинська ОКЛ"", м. Луцьк | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Дитяча МКЛ №9"", м. Запоріжжя | КЗ ""МКЛ №6"", м. Запоріжжя | КЗ ""МКЛ №5"", м. Львів | КЗ ""ОКЛ"", м. Львів | Університетська клініка ОНМУ, м. Одеса | КЗ ""ОКЛ"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків | КЗ ""ОКЛ"", м. Чернігів","ТОВ ""Ворлдвайд Клінікал Траілс Укр""","ДжеНеуро СА (GeNeuro SA), Швейцарія",2,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
CL2-47445-014,Психіатрія,Великий депресивний розлад,Київська | Київська | Київська | Київська | Львівська | Одеська | Харківська | Херсонська,"ДЗ ""Дорожня клінічна лікарня №1 станції Київ ДТГО ""Південно-Західна залізниця"", м. Київ | Психоневрологічна МКЛ №2, м. Київ | Територіальне медичне об’єднання ""Психіатрія"" у м.Києві, м. Київ | УНДІССПН МОЗ України, м. Київ | КЗ ""Обласна клінічна психіатрична лікарня"", м. Львів | КЗ ""Обласний медичний центр психічного здоров'я"", м. Одеса | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Херсон","Інститут міжнародних досліджень Серв’є (I.R.I.S.), Франція","Інститут міжнародних досліджень Серв’є (I.R.I.S.), Франція",2,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
FК/АМ-КС/16,Пульмонологія,гострим бронхітом в стадії загострення,Дніпропетровська | Дніпропетровська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | ВСП ""Клініка медичної академії"", м. Дніпро","ПАТ ""Фармак""",ВАТ Фармак,"Інша, 3",Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
ICL-23-ABSSSI1,Інфекційні хвороби,"пацієнти з гострими бактеріальними інфекціями шкіри та шкірних структур, спричинені підозрюваними або підтвердженими грам-позитивними патогенами.",Запорізька | Запорізька | Запорізька | Івано-Франківська | Івано-Франківська | Київська | Одеська | Одеська | Харківська | Харківська | Черкаська,"Запорізька МКЛ екстренної та швидкої медичної допомоги, м. Запоріжжя | КЗ ""Дитяча МКЛ №9"", м. Запоріжжя | КЗ ""МКЛ №3"", м. Запоріжжя | КЗ ""МКЛ"", м. Івано-Франківськ | КЗ ""МКЛ, м. Івано-Франківськ | КЗ ""МКЛ №4"", м. Київ | МЦ ОНМУ, м. Одеса | КЗ ""ОКЛ"", м. Одеса | КЗ ""МКЛ №18"", м. Харків | КЗ ""МКЛ №2"", м. Харків | КЗ ""ОКЛ"", м. Черкаси","ТОВ ""Кованс Клінікал енд Періепрувал Сервісез""","Мотіф БіоСайенсез, Інк. [Motif BioSciences,Inc.]",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
KZ - ZRL/T/PH-2/ - 02,"Ортопедія, Травматологія",пацієнти з деформуючим остеоартрозом великих суглобів,Харківська,"ДЗ ""Інститут патології хребта та суглобів імені проф. М.І. Ситенка НАМН України"", м. Харків","ПАТ ""ХФЗ ""Червона зірка""",ВАТ ХФЗ Червона зірка,2,Завершено КВ в Україні,будь-яка,Літнього віку (старші 65 років)
BHFZ 1405,Хірургія,"Хронічне захворювання вен в стадії С2S - С3S за класифікацією СЕАР (варикозні вени, які супроводжуються суб’єктивними симптомами та набряком)",Вінницька | Івано-Франківська | Тернопільська | Харківська,"""Центральна районна клінічна лікарня"", м. Вінниця | КЗ ""ОКЛ"", м. Івано-Франківськ | МЦ ТОВ ""Десна"" ЛТД, м. Тернопіль | ННМК ""Університетська клініка"" НМУ, м. Харків","ПАТ ""НВЦ ""Борщагівський ХВЗ""",ЗАТ НВЦ Борщагівський ХФЗ,2,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
ЗНЯТО RGH-188-201,Психіатрія,"шизофренія, шизоафективні- і шизофреноформні розлади",Вінницька | Одеська | Одеська | Полтавська | Херсонська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | КЗ ""Обласна клінічна психіатрична лікарня №2"", с. Олександрівка, м. Одеса | КЗ ""Обласний медичний центр психічного здоров'я"", м. Одеса | КЗ ""Обласна клінічна психіатрична лікарня"", м. Полтава | КЗ ""Обласна психіатрична лікарня"", м. Херсон","ТОВ ""Ворлдвайд Клінікал Траілс Укр""",Gedeon Richter Plc. ( Гедеон Ріхтер Піелсі),1,Знято з розгляду,будь-яка,"Малолітні (12-14 років), Неповнолітні (14-18 років), Дорослі (18-65 років), Молодші 18 років"
AGB 002,Онкологія,фолікулярна лімфома з низьким пухлинним навантаженням,Дніпропетровська | Київська | Харківська | Харківська | Черкаська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | Національний інститут раку, м. Київ | КЗ ""Обласний клінічний онкологічний центр"", м. Харків | КНП ""Обласний центр онкології"", м. Харків | КЗ ""Обласний онкологічний диспансер"", м. Черкаси","ПІІ ""Квінтайлс Україна""","Арчиджен Біотек Лімітед, Сполучене королівство (Archigen Biotech Limited, United Kingdom)",3,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
GC-627-04,Онкологія,"Жінки, віком від 18 до 75 років, яким було діагностовано інвазивний рак молочної залози ІІ-ІV стадії та заплановано пройти курс хіміотерапії. Це профілактика та лікування індукованої нейтропенії (відновлення білих кров’яних клітин) при мієлотоксичній хіміотерапії.",Дніпропетровська | Дніпропетровська | Закарпатська | Київська | Кіровоградська | Львівська | Харківська | Харківська | Черкаська | Чернигівська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | КЗ ""Онкологічний диспансер"", м. Кривий Ріг | Ужгородська центральна МКЛ, м. Ужгород | Київський міський клінічний онкологічний центр, м. Київ | КЗ ""Обласний онкологічний диспансер"", м. Кропивницький | КЗ ""Обласний онкологічний центр"", м. Львів | КЗ ""Обласний клінічний онкологічний центр"", м. Харків | КЗ ""Обласний клінічний онкологічний центр"", м. Харків | КЗ ""Обласний онкологічний диспансер"", м. Черкаси | КЗ ""Обласний онкологічний диспансер"", м. Чернігів","ТОВ ""Кованс Клінікал енд Періепрувал Сервісез""","Дженерон (Шанхай) Корпорейшн, [Generon (Shanghai) Corporation], Китай",3,Завершено КВ в Україні,жіноча,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
MK-3475-426,Онкологія,прогресуюча або метастазуюча світло клітинна карцинома нирки,Дніпропетровська | Дніпропетровська | Івано-Франківська | Київська | Львівська | Сумська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Обласний клінічний онкологічний диспансер"", м. Івано-Франківськ | Київський міський клінічний онкологічний центр, м. Київ | КЗ ""Обласний онкологічний центр"", м. Львів | КЗ ""Обласний клінічний онкологічний диспансер"", м. Суми","ТОВ ""МСД Україна""","Merck & Co., Inc",3,Розпочато КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
I4T-MC-JVDC,Онкологія,"локально-розповсюджений, неоперабельний або метастатичний уротеліальний рак",Волинська | Дніпропетровська | Київська | Харківська,"ДЛПЗ ""Волинський обласний онкологічний диспансер"", м. Луцьк | ""Міська багатопрофільна лікарня №4"", м. Дніпро | КЗКОР ""Київський обласний онкологічний диспансер"", м. Київ | КЗ ""Обласний клінічний онкологічний центр"", м. Харків","Eli Lilly and Company, US","Елі Ліллі енд Кампені (Eli Lilly and Company), США",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
